"contrast","database","pathway","NES","padj","size"
"Cancer_vs_Healthy","GO_BP","proton motive force-driven mitochondrial ATP synthesis",-2.52590994979277,1.92458288581701e-06,59
"Cancer_vs_Healthy","GO_BP","proton transmembrane transport",-2.46084768751582,1.92458288581701e-06,82
"Cancer_vs_Healthy","GO_BP","tRNA aminoacylation for protein translation",-2.45219721699695,7.80009952817096e-05,31
"Cancer_vs_Healthy","GO_BP","tRNA aminoacylation",-2.45219721699695,7.80009952817096e-05,31
"Cancer_vs_Healthy","GO_BP","mitochondrial gene expression",-2.2367524095446,0.000151498462937619,48
"Cancer_vs_Healthy","GO_BP","wound healing",2.1777078808348,1.92458288581701e-06,85
"Cancer_vs_Healthy","GO_BP","hemostasis",2.15131268749671,6.21475034542199e-05,45
"Cancer_vs_Healthy","GO_BP","receptor-mediated endocytosis",2.15061177310706,5.59864674918576e-05,54
"Cancer_vs_Healthy","GO_BP","blood coagulation",2.14419846972067,7.80009952817096e-05,44
"Cancer_vs_Healthy","GO_BP","coagulation",2.14419846972067,7.80009952817096e-05,44
"Cancer_vs_Healthy","GO_BP","actin filament organization",2.10201460135028,1.92458288581701e-06,117
"Cancer_vs_Healthy","GO_BP","receptor internalization",2.08615464495775,0.000663155739165584,30
"Cancer_vs_Healthy","GO_BP","positive regulation of MAPK cascade",2.06427297703326,0.000245378505371279,38
"Cancer_vs_Healthy","GO_BP","branched-chain amino acid catabolic process",-2.06165115791428,0.0153048151134413,19
"Cancer_vs_Healthy","GO_BP","lamellipodium organization",2.06082391632907,0.00113881032903234,23
"Cancer_vs_Healthy","GO_BP","branched-chain amino acid metabolic process",-2.05930702897645,0.0153048151134413,21
"Cancer_vs_Healthy","GO_BP","leukocyte cell-cell adhesion",2.03694014509753,0.000510844268183846,58
"Cancer_vs_Healthy","GO_BP","cellular respiration",-2.00552612426268,1.0514451770652e-05,166
"Cancer_vs_Healthy","GO_BP","oxidative phosphorylation",-1.99953846362624,0.000245378505371279,93
"Cancer_vs_Healthy","GO_BP","negative regulation of protein polymerization",1.99755735683124,0.00331127431166397,25
"Cancer_vs_Healthy","GO_BP","cell-substrate adhesion",1.9868949454642,0.000167129143778214,75
"Cancer_vs_Healthy","GO_BP","positive regulation of cell adhesion",1.98467998501117,0.000510340506595908,70
"Cancer_vs_Healthy","GO_BP","regulation of actin cytoskeleton organization",1.97663984336796,0.000510340506595908,74
"Cancer_vs_Healthy","GO_BP","endothelial cell migration",1.97451524252667,0.00280335942427324,39
"Cancer_vs_Healthy","GO_BP","regulation of T cell activation",1.9420798724885,0.00253602740901682,48
"Cancer_vs_Healthy","GO_BP","regulation of anatomical structure size",1.94203967190294,0.000245378505371279,86
"Cancer_vs_Healthy","GO_BP","positive regulation of T cell activation",1.94105939855615,0.00446822732400554,29
"Cancer_vs_Healthy","GO_BP","regulation of coagulation",1.9331699548987,0.0101062042068982,16
"Cancer_vs_Healthy","GO_BP","ATP metabolic process",-1.92375570592753,0.000431293939973291,118
"Cancer_vs_Healthy","GO_BP","integrin-mediated signaling pathway",1.91201052824006,0.0112790608132366,25
"Cancer_vs_Healthy","GO_BP","regulation of nitric oxide biosynthetic process",1.90658822167759,0.0101709209749282,15
"Cancer_vs_Healthy","GO_BP","regulation of nitric oxide metabolic process",1.90658822167759,0.0101709209749282,15
"Cancer_vs_Healthy","GO_BP","regulation of wound healing",1.90422811151532,0.0134043914756779,27
"Cancer_vs_Healthy","GO_BP","chemotaxis",1.90030069306351,0.0033622643293037,57
"Cancer_vs_Healthy","GO_BP","mitochondrion localization",-1.89372828395682,0.0311884683171313,11
"Cancer_vs_Healthy","GO_BP","regulation of cellular component size",1.89213495695765,0.00331127431166397,68
"Cancer_vs_Healthy","GO_BP","cellular oxidant detoxification",1.88376644521539,0.00738055298262302,42
"Cancer_vs_Healthy","GO_BP","substrate adhesion-dependent cell spreading",1.87161040623515,0.0186254692075773,30
"Cancer_vs_Healthy","GO_BP","regulation of blood coagulation",1.87125173009197,0.0161121317315763,15
"Cancer_vs_Healthy","GO_BP","tissue homeostasis",1.87072910856348,0.0222107826739931,23
"Cancer_vs_Healthy","GO_BP","anatomical structure homeostasis",1.87072910856348,0.0222107826739931,23
"Cancer_vs_Healthy","GO_BP","positive regulation of inflammatory response",1.86924669376364,0.0149831029940824,19
"Cancer_vs_Healthy","GO_BP","membrane raft organization",1.86329925833092,0.0254641534514065,12
"Cancer_vs_Healthy","GO_BP","leukocyte migration",1.86000018772975,0.00559870024421384,53
"Cancer_vs_Healthy","GO_BP","regulation of leukocyte cell-cell adhesion",1.8597589937008,0.00410474611373137,50
"Cancer_vs_Healthy","GO_BP","lamellipodium assembly",1.85278317397493,0.0290128063812357,16
"Cancer_vs_Healthy","GO_BP","plasma membrane organization",1.85253411262784,0.0164963944521308,43
"Cancer_vs_Healthy","GO_BP","glycerophospholipid biosynthetic process",-1.85070558664818,0.0485698133632899,22
"Cancer_vs_Healthy","GO_BP","humoral immune response",1.84907070975101,0.0311884683171313,24
"Cancer_vs_Healthy","GO_BP","phospholipid transport",1.84209448425929,0.0207331121014806,15
"Cancer_vs_Healthy","GO_BP","isoprenoid metabolic process",1.82342886838776,0.0186405721913022,29
"Cancer_vs_Healthy","GO_BP","cellular response to fibroblast growth factor stimulus",1.8191629710113,0.0402602264434766,12
"Cancer_vs_Healthy","GO_BP","response to fibroblast growth factor",1.8191629710113,0.0402602264434766,12
"Cancer_vs_Healthy","GO_BP","regulation of protein maturation",1.81851196104111,0.0294452474138163,13
"Cancer_vs_Healthy","GO_BP","fatty acid beta-oxidation",-1.81412023419256,0.0445601388104776,37
"Cancer_vs_Healthy","GO_BP","methylation",-1.81124142843867,0.0477599347341784,38
"Cancer_vs_Healthy","GO_BP","regulation of lamellipodium organization",1.80976586024957,0.0311223276362782,14
"Cancer_vs_Healthy","GO_BP","modulation of process of another organism",1.80599792697368,0.0317468964243366,21
"Cancer_vs_Healthy","GO_BP","extracellular matrix organization",1.80347828151769,0.0161121317315763,33
"Cancer_vs_Healthy","GO_BP","negative regulation of immune effector process",1.80207736877919,0.0317468964243366,14
"Cancer_vs_Healthy","GO_BP","leukocyte proliferation",1.80180162845761,0.0358351251579387,27
"Cancer_vs_Healthy","GO_BP","negative regulation of neuron apoptotic process",1.79817814969653,0.0347437297180756,21
"Cancer_vs_Healthy","GO_BP","cell junction assembly",1.79623150312472,0.00640613420495907,75
"Cancer_vs_Healthy","GO_BP","negative regulation of cell activation",1.79623115090627,0.0299216730856383,31
"Cancer_vs_Healthy","GO_BP","cell-cell junction organization",1.79570357851629,0.0287449087108791,32
"Cancer_vs_Healthy","GO_BP","organic hydroxy compound transport",1.7948647525982,0.017697209533438,33
"Cancer_vs_Healthy","GO_BP","detoxification",1.79105552031461,0.0161121317315763,61
"Cancer_vs_Healthy","GO_BP","negative regulation of cytoskeleton organization",1.78676263706114,0.0294452474138163,37
"Cancer_vs_Healthy","GO_BP","modification of postsynaptic structure",1.7831653561807,0.0332469877747197,10
"Cancer_vs_Healthy","GO_BP","mitochondrial respiratory chain complex assembly",-1.77618650481377,0.0358351251579387,46
