"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"ARF1","Cancer_vs_Healthy",0.872726312387144,8.37480544967611e-05,0.00242970259311085,0.000276613115376975
"SUCLG1","Cancer_vs_Healthy",-0.536764023721116,0.0285782364857981,0.0967881764526045,0.14833900534614
"TALDO1","Cancer_vs_Healthy",0.772865710377182,0.00218330145306033,0.0189797469276869,0.00877995363424678
"HSDL2","Cancer_vs_Healthy",-0.563183236708671,0.0105076672316658,0.0497101428169964,0.0768679891567256
"FABP5","Cancer_vs_Healthy",0.592217382824135,0.0157394883208025,0.0648984381446787,0.0855512772219165
"CZIB","Cancer_vs_Healthy",0.196889480556553,0.209638756379482,0.360384636546563,0.735198971459963
"S100A13","Cancer_vs_Healthy",0.517852852119756,0.0527906158139924,0.145279774720107,0.218007963625
"SMPX","Cancer_vs_Healthy",-0.121795058347573,0.708843085295685,0.793904255531167,0.95895392616248
"PCBD2","Cancer_vs_Healthy",-0.0690758510733325,0.708759315702676,0.793904255531167,0.97650186259178
"PREP","Cancer_vs_Healthy",-0.3132215891067,0.141376551080666,0.275655655872263,0.541850968146355
"SKP1","Cancer_vs_Healthy",0.250027362702507,0.206208949722137,0.357231043835184,0.673842059693912
"RPL7","Cancer_vs_Healthy",0.262043260327069,0.161831176313344,0.30278902297011,0.620497559635198
"HIBADH","Cancer_vs_Healthy",-0.251394441320748,0.141942654943197,0.276475430597432,0.612133154175388
"EEF1D","Cancer_vs_Healthy",-0.149670551726114,0.183478867586316,0.331097720580121,0.775854919022794
"FMOD","Cancer_vs_Healthy",NA,NA,NA,NA
"VCP","Cancer_vs_Healthy",0.361934793099536,0.0168861187172347,0.0681101739884442,0.228287103977471
"PNP","Cancer_vs_Healthy",2.78846760724162,5.03889622410328e-08,6.06683105382034e-05,4.47402796043788e-21
"PBXIP1","Cancer_vs_Healthy",-0.511327839870145,0.00526094443681581,0.0326503974326095,0.0683465240473857
"MYOZ1","Cancer_vs_Healthy",0.460893019170946,0.487535174824875,0.627203330628556,0.71813174069694
"CDC42","Cancer_vs_Healthy",0.405316032342558,0.0427947433603248,0.127065033306612,0.278792186368955
"ALAD","Cancer_vs_Healthy",2.01060606967645,1.35733378316117e-05,0.00083365870453503,1.63587551685684e-10
"CRIP1","Cancer_vs_Healthy",1.61758200980515,0.0181685075160302,0.0716584607048326,0.00152864323492381
"IDH3A","Cancer_vs_Healthy",-0.38615273196152,0.049804258418608,0.139451923572102,0.314011744344479
"NDUFV1","Cancer_vs_Healthy",-0.303681560865734,0.206093825624429,0.357231043835184,0.619005036652453
"HIBCH","Cancer_vs_Healthy",-0.00417822098769705,0.984952552548152,0.990813609021564,0.999936652618071
"PRKACA","Cancer_vs_Healthy",-0.0440965968348266,0.710578756378244,0.795108571263388,0.985046208839916
"AIFM1","Cancer_vs_Healthy",-0.511497331675869,0.00335414559382757,0.0244011558608362,0.0542427562832364
"SLC25A11","Cancer_vs_Healthy",-0.891799625760566,0.00682662905901917,0.0384977114147966,0.0117097060587864
"KRT10","Cancer_vs_Healthy",-0.163377422621025,0.786795285275162,0.85496527389106,0.961581636477958
"MYOM1","Cancer_vs_Healthy",-0.487261463528537,0.166307276918286,0.309480620416719,0.417234370132826
"FUNDC2","Cancer_vs_Healthy",-0.581940079740235,0.0144864425784783,0.0619597757175414,0.0850726446162828
"AKR1C3","Cancer_vs_Healthy",1.55939031121029,0.00091137040381735,0.0109253991521333,1.81542251267351e-05
