"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"Abcf2","CTLvPHE",-0.0204781709202564,0.637325998121104,0.934844607627222,0.990817535473459
"Asph","CTLvPHE",-0.0398504067500518,0.316037915974954,0.85379874144504,0.955134216075588
"Gspt2","CTLvPHE",0.307153576391077,0.173107963569012,0.785082797134556,0.583507385116089
"Tlk1","CTLvPHE",NA,NA,NA,NA
"Las1l","CTLvPHE",0.119037098111288,0.707802417488437,0.948479668904927,0.959696619402511
"C3h9orf78","CTLvPHE",-0.0618940582373497,0.678699787580679,0.942054485256468,0.976296765723218
"Gpc6","CTLvPHE",0.154461156252871,0.085142262915355,0.728763649573937,0.683516477934695
"Dnal1","CTLvPHE",-0.089781089449847,0.335463542220299,0.85661919403678,0.906592080138766
"Serf1","CTLvPHE",0.130108273633834,0.31264394981071,0.852444454468722,0.859610736102288
"Crtap","CTLvPHE",-0.10340362743344,0.0663315886768009,0.728763649573937,0.755373274375066
"Adgrv1","CTLvPHE",-0.0858236637633958,0.498113337662241,0.901115222925578,0.941940769632773
"Rab24","CTLvPHE",0.23747897250702,0.370628332451948,0.865883150962299,0.790008902552396
"Gigyf2","CTLvPHE",-0.095579405741006,0.158253277740642,0.784849431715729,0.83844505597722
"Eef1akmt1","CTLvPHE",0.196180680636719,0.561484428072351,0.919944069780879,0.892945396333121
"Lig3","CTLvPHE",0.00469301490234741,0.965940312434933,0.996778627745207,0.999837385074745
"Vta1","CTLvPHE",0.0402205981342796,0.750571205976783,0.957473600187422,0.988526207473255
"Cyfip2","CTLvPHE",-0.0766737936228097,0.0789568989979684,0.728763649573937,0.823111585996944
"Rab6b","CTLvPHE",-0.109338997062313,0.358098584499603,0.85921153960086,0.893789178301129
"Ash2l","CTLvPHE",0.0377031738354283,0.77047622279237,0.962763855999125,0.990217195998092
"Gvin1;Gvinp1","CTLvPHE",NA,NA,NA,NA
"Abr","CTLvPHE",0.0116070142248823,0.916358743166487,0.99010135977222,0.99898667183051
"Praf2","CTLvPHE",0.0776872754704847,0.434116106660873,0.882418570741556,0.937230880711402
"Abcg3l2","CTLvPHE",-0.00330267175224463,0.981614441856354,0.997426798274557,0.999938715277836
"Ptcd3","CTLvPHE",0.463096098275411,0.0919096166137393,0.731805349252448,0.331082711036782
"Trmt5","CTLvPHE",0.177550441653565,0.605341274799532,0.932549585182926,0.914732384256118
"Mtx1","CTLvPHE",-0.253005929392945,0.0652850421527564,0.728763649573937,0.501349788247159
"Ncor2","CTLvPHE",0.0765320525032145,0.537273597794354,0.913853557456252,0.953567207983442
"Rbx1","CTLvPHE",-0.176701942241312,0.522868884885298,0.908859113176257,0.891742490015901
"Herc2","CTLvPHE",0.141167972353649,0.649411854303384,0.938583186472844,0.940879179988947
"Iqsec1","CTLvPHE",0.142692843123179,0.315880019240134,0.85379874144504,0.848370177499291
"Ddx19b","CTLvPHE",-0.0187822365892139,0.802042077392272,0.966599315465109,0.995865318844541
"Pnkp","CTLvPHE",0.0295332054142108,0.922798562708562,0.99212745225944,0.997629987906489
"Lsm14a","CTLvPHE",-0.0614182525772655,0.491385693195279,0.899688285634036,0.957299230112285
"Tubgcp3","CTLvPHE",0.0331913902939576,0.874527125269781,0.979764933252325,0.995559851751567
"Nedd4l","CTLvPHE",-0.463761572911043,0.219845418205625,0.813185362416856,0.495335368878557
"Col15a1","CTLvPHE",0.0468445328181382,0.806576355001312,0.967165344141143,0.989980981424272
"Thbs1","CTLvPHE",0.169321104648777,0.00360991807363582,0.400803587630115,0.385862658785781
"Ppp6r2","CTLvPHE",0.191009376613717,0.259245704014946,0.835129876109336,0.772704447883013
"Ndufa8","CTLvPHE",-0.00642166068542238,0.946063615048658,0.993651116410479,0.999644011410813
"Paip1","CTLvPHE",-0.0798265485673504,0.155183748166566,0.782912596929419,0.861803091856869
"Samd9l","CTLvPHE",0.0289879922730485,0.619799110395298,0.932557131388507,0.986229007534669
"Cisd3","CTLvPHE",-0.0042171049969788,0.9912888718166,0.997888228195529,0.999963103998274
"Clint1","CTLvPHE",0.0549717772259584,0.419607766583424,0.881967783165567,0.95338219707116
"Xpo7","CTLvPHE",-0.0362299071553238,0.771522403559643,0.962763855999125,0.990646360014888
"Pxdn","CTLvPHE",-0.0505577402465249,0.416436716800607,0.881967783165567,0.956676834545224
