"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"MMP24OS","Training_Young",-0.274173172819651,0.472300103414332,0.726243465528109,0.814102946436588
"ESYT2","Training_Young",0.134376801363125,0.358625448674463,0.658102712537793,0.871272679706719
"ILVBL","Training_Young",0.0991386272653969,0.53540417574878,0.77201942562496,0.939943786982146
"FSD2","Training_Young",0.0203508121978544,0.876682151099083,0.949889629696016,0.99732519741369
"TARS3","Training_Young",-0.00493428262770834,0.981464759004635,0.995065803846013,0.999907687922825
"VWA8","Training_Young",0.03504927821335,0.905782108711189,0.957723336273098,0.996537653893026
"CARNS1","Training_Young",0.776205944356487,0.000462107050403887,0.0179879448138698,0.00257723117456945
"MAP1LC3B2","Training_Young",-0.441562281460467,0.102959939313382,0.351225083019429,0.36646419793215
"PGP","Training_Young",0.0671446054776439,0.375908154166705,0.672475693666736,0.936416443915688
"DHRS7C","Training_Young",-0.163693752766502,0.200302427837539,0.498857468382118,0.768582330011461
"SMTNL1","Training_Young",0.0545011482692139,0.76642779901704,0.898258040991951,0.985606480532333
"NUDT19","Training_Young",-0.22992241867065,0.33301060622074,0.64455644040147,0.77660897185257
"NACA","Training_Young",0.244890684347201,0.000577608185228462,0.0205785153449191,0.161047568496773
"SLC35A4","Training_Young",-0.0575530830551685,0.67160633331704,0.848682317993716,0.977349562163446
"PDLIM1","Training_Young",-0.110408915520527,0.527697402884255,0.768690187708041,0.931856039195537
"MYO1C","Training_Young",0.220641395821371,0.126264333882792,0.393196488624634,0.633439756430955
"FXYD1","Training_Young",0.10784075738994,0.562100528406869,0.793328649496937,0.939766049857462
"STXBP3","Training_Young",-0.275794443990694,0.0162019292816857,0.118347416740787,0.320780863717723
"NDUFS8","Training_Young",-0.343137248951017,0.0135322880686572,0.106096738177264,0.228456682527512
"PSMD11","Training_Young",0.121114327963316,0.0640907596660737,0.270571931209648,0.716944981472487
"PSMD12","Training_Young",0.0734203433277507,0.451558548474518,0.712512835638176,0.943298162275616
"PSMD9","Training_Young",0.123997713699076,0.1470822454801,0.425033171208619,0.788459471181666
"PGRMC1","Training_Young",0.0142289308040482,0.962472721525241,0.98583093264051,0.999455897813125
"CLIC1","Training_Young",0.279554918304267,0.0147100459688751,0.111626413814352,0.307430881142507
"EIF3F","Training_Young",0.0919782683597781,0.262238277684182,0.572998814648806,0.884163683212436
"PDHX","Training_Young",-0.0207604574693399,0.779745134943528,0.905038251602041,0.994848359379211
"DCTN6","Training_Young",0.315489591214698,0.100865318524259,0.350105117252508,0.484943260423598
"IPO5","Training_Young",0.0730958822260916,0.206884534650175,0.506813148610276,0.891215100463475
"EEF2K","Training_Young",-0.289680887818829,0.0965220251571318,0.340990414924859,0.508002303353281
"EML1","Training_Young",-0.0841376431595044,0.359733595007576,0.658102712537793,0.91757439839662
"DNM1L","Training_Young",0.0133680746717602,0.864500019470425,0.945379078073804,0.998055448600646
"RTCA","Training_Young",-0.122835504423058,0.182570648827963,0.470875464829913,0.811479399769612
"NDUFA4","Training_Young",0.0179193861972102,0.856226692879854,0.941804557003377,0.997222415553041
"PSMD14","Training_Young",0.0708742737060994,0.292723360860508,0.60383170218723,0.916612033599892
"BIN1","Training_Young",0.192015377263207,0.00249827791322725,0.043399836145485,0.316451389204715
"KPNA3","Training_Young",0.0977784573611693,0.380008449768117,0.67539906613921,0.909730661863546
"DDX3X","Training_Young",0.0182170256241854,0.887205464500201,0.951968293200318,0.99782218523961
"KPNA4","Training_Young",0.167241036746368,0.0146796851258931,0.111626413814352,0.493628023673287
"CES2","Training_Young",0.203963458765145,0.341678505343884,0.649962188446013,0.803294964450665
"FBP2","Training_Young",0.156762755936352,0.310091076194792,0.626144805257619,0.832308742162722
"PDXK","Training_Young",-0.033803572446832,0.644751291087185,0.839550867051484,0.985273440992214
"SDHD","Training_Young",0.111552437431605,0.399478818319134,0.68266251303517,0.902704603466986
"COX7A2L","Training_Young",-0.20738123461582,0.439533169941633,0.705095391824353,0.843263239928317
"GAPDHS","Training_Young",0.138920285184405,0.694427915694534,0.856678242704008,0.950602170160924
"HSPB6","Training_Young",0.6235212342024,0.000272706888506163,0.0147496530569581,0.00599212463938692
"NDUFAB1","Training_Young",-0.30155821320529,0.0313686217792242,0.173062579999814,0.352051217586664
"IMPA2","Training_Young",-0.257984085680224,0.0307754790652427,0.171591663117082,0.407362364953379
"PDCD5","Training_Young",0.133320593911293,0.0769800168416105,0.302241756093667,0.710446295105946
"PRMT5","Training_Young",0.137765138356734,0.0889850867013701,0.326319830805567,0.716559969195206
"PSMA7","Training_Young",0.0965396701318539,0.0918691619328407,0.333878048242431,0.794154041010181
"OPLAH","Training_Young",-0.148699256673055,0.134644348815467,0.405476248152024,0.742182862998077
"MGST3","Training_Young",-0.406638239570746,0.00054613994182442,0.0201401080300865,0.0471262646478624
"RGS12","Training_Young",-0.380128341792581,0.0283449698513957,0.163496548072404,0.258072820192161
"HAT1","Training_Young",-0.22690856278998,0.628005786139033,0.827628941983854,0.899821200114347
