"contrast","database","pathway","NES","padj","size"
"CTLvPHE","GO_BP","regulation of polysaccharide biosynthetic process",-1.97306577715446,0.13752200533078,15
"CTLvPHE","GO_BP","cellular response to low-density lipoprotein particle stimulus",1.93464864782461,0.129997549987172,13
"CTLvPHE","GO_BP","regulation of phospholipid metabolic process",1.91753630165922,0.129997549987172,16
"CTLvPHE","GO_BP","mammary gland epithelium development",1.91729982721353,0.179737700185378,18
"CTLvPHE","GO_BP","regulation of polysaccharide metabolic process",-1.9172015287697,0.1444300716345,18
"CTLvPHE","GO_BP","cardiac muscle contraction",1.90489219311355,0.0799745671208866,47
"CTLvPHE","GO_BP","mammary gland duct morphogenesis",1.89123478225656,0.13752200533078,10
"CTLvPHE","GO_BP","muscle organ development",1.8661576766925,0.0354601109566656,103
"CTLvPHE","GO_BP","cellular response to lipoprotein particle stimulus",1.86479470329736,0.179737700185378,14
"CTLvPHE","GO_BP","actin filament-based movement",1.86067426865856,0.13752200533078,52
"CTLvPHE","GO_BP","cellular response to type II interferon",1.8512242395113,0.13752200533078,43
"CTLvPHE","GO_BP","ganglion development",-1.85116673930397,0.163905640565227,8
"CTLvPHE","GO_BP","regulation of response to cytokine stimulus",1.82742493892958,0.13752200533078,50
"CTLvPHE","GO_BP","connective tissue development",1.82420485638754,0.0562652609014609,79
"CTLvPHE","GO_BP","integrin-mediated signaling pathway",1.82252830458842,0.179737700185378,45
"CTLvPHE","GO_BP","muscle contraction",1.81103210040136,0.0354601109566656,107
"CTLvPHE","GO_BP","cellular component assembly involved in morphogenesis",1.80954579111263,0.17927114320777,48
"CTLvPHE","GO_BP","poly(A)+ mRNA export from nucleus",-1.8015433539257,0.250161241885742,9
"CTLvPHE","GO_BP","non-proteinogenic amino acid catabolic process",-1.80031596426769,0.215968722022082,6
"CTLvPHE","GO_BP","long-chain fatty-acyl-CoA metabolic process",1.79598996597428,0.247211004369977,9
"CTLvPHE","GO_BP","protein N-linked glycosylation",-1.79349457968418,0.234935168977291,32
"CTLvPHE","GO_BP","protein localization to plasma membrane",1.79051984163052,0.0354601109566656,157
"CTLvPHE","GO_BP","microtubule depolymerization",1.78860346400006,0.250401307901248,26
"CTLvPHE","GO_BP","B cell proliferation",1.78141569484296,0.254008868092663,17
"CTLvPHE","GO_BP","regulation of cytokine-mediated signaling pathway",1.77775079355829,0.209233859145529,46
"CTLvPHE","GO_BP","Golgi to plasma membrane protein transport",1.76381443829289,0.250161241885742,28
"CTLvPHE","GO_BP","positive regulation of smooth muscle cell apoptotic process",1.75860178523718,0.209233859145529,6
"CTLvPHE","GO_BP","negative regulation of vascular permeability",1.75428774985135,0.17927114320777,7
"CTLvPHE","GO_BP","intracellular mRNA localization",1.75378830198464,0.250161241885742,13
"CTLvPHE","GO_BP","cartilage condensation",1.75354450078587,0.215968722022082,6
"CTLvPHE","GO_BP","mitochondrion transport along microtubule",1.74696423562173,0.250161241885742,16
"CTLvPHE","GO_BP","regulation of skeletal muscle cell differentiation",1.74638627351442,0.218880604841061,6
"CTLvPHE","GO_BP","cell-substrate adhesion",1.7422201359423,0.0477722649387386,148
"CTLvPHE","GO_BP","platelet activation",-1.74202307045097,0.270135967788748,27
"CTLvPHE","GO_BP","positive regulation of heart contraction",1.7329244794615,0.250161241885742,12
"CTLvPHE","GO_BP","response to fibroblast growth factor",1.73239401769934,0.250161241885742,32
